Name,Artist,Album,Genre,Charter,Year,songlength
Long Hot Summer Night,The Jimi Hendrix Experience,Electric Ladyland,Classic Rock,Harmonix,1968,211956
Purple Haze (Live at San Diego),The Jimi Hendrix Experience,Smash Hits,Classic Rock,Neversoft,1968,236682
In-a-Gadda-Da-Vida,Iron Butterfly,In-a-Gadda-Da-Vida,classicrock,"Harmonix, Rhythm Authors",1968,1027243
Pictures of Matchstick Men,Status Quo,Picturesque Matchstickable Messages from the Status Quo,classicrock,"Harmonix, Rhythm Authors",1968,193650
Born to Be Wild,Steppenwolf,Steppenwolf,classicrock,Unknown Charter,1968,210626
Angel of the Morning,Merrilee Rush and The Turnabouts,Angel of the Morning,Country,Luke Noel III,1968,226040
Angel of the Morning,Merrilee Rush and The Turnabouts,Angel of the Morning,Country,Luke Noel III,1968,226040
Crossroads,Cream (WaveGroup),Wheels of Fire,Hard Rock,Harmonix,1968,259765
Crossroads,Cream (WaveGroup),Wheels of Fire,Hard Rock,Harmonix,1968,259765
I Heard It Through the Grapevine,Marvin Gaye,in the Groove,R&B,Neversoft,1968,207114
Voodoo Child (Slight Return) (Live),Jimi Hendrix,Live at Woodstock,Classic Rock,Harmonix,1969,399665
Spirit In The Sky,Norman Greenbaum,Spirit in the Sky,Classic Rock,Harmonix,1969,260132
Doin' That Rag,The Grateful Dead,Aoxomoxoa,Classic Rock,Harmonix,1969,292000
Pinball Wizard,The Who,Tommy,Classic Rock,Harmonix,1969,190136
Space Oddity,David Bowie,Space Oddity,Glam,Harmonix,1969,316187
Kick Out the Jams,MC5's Wayne Kramer,Kick Out the Jams,Hard Rock,Neversoft,1969,181886
My Way,Frank Sinatra,My Way,other,Unknown Charter,1969,289087
I Want You Back,The Jackson 5,Diana Ross Presents The Jackson 5,Pop/Rock,Harmonix,1969,204375
Foxy Lady (Live at Woodstock),Jimi Hendrix,Live at Woodstock,Psychedelic Rock,Neversoft,1969,269127
Fire (Live at Woodstock),The Jimi Hendrix Experience,Are You Experienced,Psychedelic Rock,Neversoft,1969,199070
Suspicious Minds,Elvis Presley,From Elvis in Memphis,rock,Unknown Charter,1969,270930
Under My Thumb (Live),The Rolling Stones,Get Yer Ya-Ya's Out! The Rolling Stones in Concert,Rock,Neversoft,1969,225269
1969,The Stooges,The Stooges,Rock,Harmonix,1969,269431
I Wanna Be Your Dog,The Stooges,The Stooges,Rock,Harmonix,1969,196961
No Fun,The Stooges,The Stooges,Rock,Harmonix,1969,329183
Commotion,Creedence Clearwater Revival,Green River,Roots Rock,Neversoft,1969,164026
Down on the Corner,Creedence Clearwater Revival,Willy and the Poor Boys,Southern Rock,Harmonix,1969,168500
Fortunate Son,Creedence Clearwater Revival,Willy and the Poor Boys,Southern Rock,Neversoft,1969,160999
Honky Tonk Women,The Rolling Stones,Honky Tonk Women,Southern Rock,Neversoft,1969,190042
Black Magic Woman,Santana,Abraxas,Blues Rock,Neversoft,1970,324319
Paranoid,Black Sabbath (Steve Ouimette),Paranoid,Classic Rock,Neversoft,1970,168905
25 or 6 to 4,Chicago,Chicago,Classic Rock,Harmonix,1970,292742
25 or 6 to 4,Chicago,Chicago,Classic Rock,Harmonix,1970,292059
Funk #49,James Gang,Rides Again,Classic Rock,Harmonix,1970,258724
Mississippi Queen,Mountain (WaveGroup),Climbing!,Classic Rock,Neversoft,1970,153000
