Name,Artist,Album,Genre,Charter,Year,songlength
Movin' Out,Aerosmith,Aerosmith,Hard Rock,Neversoft,1973,304280
Dream On,Aerosmith,Aerosmith,Rock,Neversoft,1973,277007
Dream On,Aerosmith,Aerosmith,Rock,Neversoft,1973,277007
Same Old Song & Dance,Aerosmith,Get Your Wings,Classic Rock,Neversoft,1974,186000
Pandora's Box,Aerosmith,Get Your Wings,Hard Rock,Neversoft,1974,337984
Train Kept A Rollin',Aerosmith,Get Your Wings,Hard Rock,Neversoft,1974,342689
Train Kept A Rollin',Aerosmith,Get Your Wings,Hard Rock,Neversoft,1974,342689
Seasons of Wither,Aerosmith,Get Your Wings,rock,Unknown Charter,1974,302759
Uncle Salty,Aerosmith,Toys in the Attic,Classic Rock,Neversoft,1975,242591
Uncle Salty,Aerosmith,Toys in the Attic,Classic Rock,Neversoft,1975,242591
Sweet Emotion,Aerosmith,Toys in the Attic,Hard Rock,Neversoft,1975,285398
Sweet Emotion,Aerosmith,Toys in the Attic,Hard Rock,Neversoft,1975,285398
Toys in the Attic,Aerosmith,Toys in the Attic,Hard Rock,Neversoft,1975,176860
Toys in the Attic,Aerosmith,Toys in the Attic,Hard Rock,Neversoft,1975,176860
Walk This Way,Aerosmith,Toys in the Attic,Hard Rock,Neversoft,1975,225933
Toys in the Attic,Aerosmith,Toys in the Attic,rock,Unknown Charter,1975,188080
Combination,Aerosmith,Rocks,Hard Rock,Neversoft,1976,222332
Rats in the Cellar,Aerosmith,Rocks,Hard Rock,Neversoft,1976,248344
Rats in the Cellar (Co-op),Aerosmith,Rocks,Hard Rock,Neversoft,1976,248344
Nobody's Fault,Aerosmith,Aerosmith,Heavy Metal,Neversoft,1976,288000
Nobody's Fault,Aerosmith,Aerosmith,Heavy Metal,Neversoft,1976,288000
Rats in the Cellar,Aerosmith,Rocks,rock,Unknown Charter,1976,249947
Bright Light Fright,Aerosmith,Draw the Line,Classic Rock,Neversoft,1977,143342
Bright Light Fright,Aerosmith,Draw the Line,Classic Rock,Neversoft,1977,143342
Back In The Saddle,Aerosmith,Rocks,Hard Rock,Neversoft,1977,285825
Back In The Saddle,Aerosmith,Rocks,Hard Rock,Neversoft,1977,285825
Draw the Line,Aerosmith,Draw the Line,Hard Rock,Neversoft,1977,197479
Draw the Line,Aerosmith,Draw the Line,Hard Rock,Neversoft,1977,197479
Kings and Queens,Aerosmith,Draw the Line,Hard Rock,Neversoft,1978,302000
No Suprize,Aerosmith,Night in the Ruts,Hard Rock,Neversoft,1979,288534
No Suprize,Aerosmith,Night in the Ruts,Hard Rock,Neversoft,1979,288534
No Suprize (Co-op),Aerosmith,Night in the Ruts,Hard Rock,Neversoft,1979,288534
No Suprize (Co-op),Aerosmith,Night in the Ruts,Hard Rock,Neversoft,1979,288534
No Suprize (Co-op),Aerosmith,Night in the Ruts,Hard Rock,Neversoft,1979,288534
Let the Music Do the Talking,Aerosmith,Done with Mirrors,Hard Rock,Neversoft,1985,253201
Angel,Aerosmith,Permanent Vacation,rock,Unknown Charter,1987,299811
Dude (Looks Like a Lady),Aerosmith,Permanent Vacation,rock,Unknown Charter,1987,252667
Rag Doll,Aerosmith,Permanent Vacation,rock,Unknown Charter,1987,258086
Rag Doll,Aerosmith,Permanent Vactation,Hard Rock,Neversoft,1988,254950
Rag Doll,Aerosmith,Permanent Vactation,Hard Rock,Neversoft,1988,254950
Love in an Elevator,Aerosmith,Pump,Hard Rock,Neversoft,1989,326989
Love in an Elevator,Aerosmith,Pump,Hard Rock,Neversoft,1989,326989
Janie's Got a Gun,Aerosmith,Pump,rock,Unknown Charter,1989,313815
Love in an Elevator,Aerosmith,Pump,rock,Unknown Charter,1989,327611
Cryin',Aerosmith,Get a Grip,Blues Rock,Neversoft,1993,324466
Livin' on the Edge,Aerosmith,Get a Grip,Hard Rock,Neversoft,1993,374000
Livin' on the Edge,Aerosmith,Get a Grip,Hard Rock,Neversoft,1993,374000
Crazy,Aerosmith,Get a Grip,rock,Unknown Charter,1993,319347
Cryin',Aerosmith,Get a Grip,rock,Unknown Charter,1993,324940
Eat the Rich,Aerosmith,Get a Grip,rock,Unknown Charter,1993,255932
Livin' on the Edge,Aerosmith,Get a Grip,rock,Unknown Charter,1993,366724
Shut Up And Dance,Aerosmith,Get A Grip,Rock,"IaSg14, AJFOne23",1993,298288
Pink,Aerosmith,Nine Lives,Hard Rock,Neversoft,1997,239423
I Don't Want to Miss a Thing,Aerosmith,Armageddon: The Album,rock,Unknown Charter,1998,276659
Beyond Beautiful,Aerosmith,Just Push Play,Hard Rock,Neversoft,2001,291277
Beyond Beautiful,Aerosmith,Just Push Play,Hard Rock,Neversoft,2001,291277
Beyond Beautiful (Co-op),Aerosmith,Just Push Play,Hard Rock,Neversoft,2001,291277
Beyond Beautiful (Co-op),Aerosmith,Just Push Play,Hard Rock,Neversoft,2001,291277
Lizard Love,Aerosmith,Rugrats Go Wild,Rock,DeepFriedDVD,2003,277415
Last Child,Aerosmith (WaveGroup),Rocks,Funk Rock,Harmonix,1976,263981
Last Child (Co-op),Aerosmith (WaveGroup),Rocks,Funk Rock,Harmonix,1976,263958
Drama,Aespa,Drama (4th Mini Album),K-Pop,Sang Duta & Mathys,2023,217215
